"","Cell","Organism","Attribute","Value","Nlevel"
"1",1,"1","StoredNitrogen",1.292,"low"
"2",2,"1","StoredNitrogen",0.08187,"low"
"3",3,"1","StoredNitrogen",0.070973,"low"
"4",4,"1","StoredNitrogen",0.041799,"low"
"5",5,"1","StoredNitrogen",0.041049,"low"
"6",6,"1","StoredNitrogen",0.04271,"low"
"7",7,"1","StoredNitrogen",0.041451,"low"
"8",8,"1","StoredNitrogen",0.021432,"low"
"9",9,"1","StoredNitrogen",0.021672,"low"
"10",10,"1","StoredNitrogen",0.057435,"low"
"11",11,"1","StoredNitrogen",0.045709,"low"
"12",12,"1","StoredNitrogen",0.022779,"low"
"13",13,"1","StoredNitrogen",0.022779,"low"
"14",14,"1","StoredNitrogen",0.041749,"low"
"15",15,"1","StoredNitrogen",0.041749,"low"
"16",16,"1","StoredNitrogen",0.030589,"low"
"17",17,"1","StoredNitrogen",0.030743,"low"
"18",18,"1","StoredNitrogen",0.048288,"low"
"19",19,"1","StoredNitrogen",0.053076,"low"
"20",20,"1","StoredNitrogen",0.72553,"low"
"21",1,"2","StoredNitrogen",1.3621,"low"
"22",2,"2","StoredNitrogen",0.046005,"low"
"23",3,"2","StoredNitrogen",0.046005,"low"
"24",4,"2","StoredNitrogen",0.071173,"low"
"25",5,"2","StoredNitrogen",0.082968,"low"
"26",6,"2","StoredNitrogen",0.047946,"low"
"27",7,"2","StoredNitrogen",0.045172,"low"
"28",8,"2","StoredNitrogen",0.024438,"low"
"29",9,"2","StoredNitrogen",0.025257,"low"
"30",10,"2","StoredNitrogen",0.064663,"low"
"31",11,"2","StoredNitrogen",0.048789,"low"
"32",12,"2","StoredNitrogen",0.022026,"low"
"33",13,"2","StoredNitrogen",0.022069,"low"
"34",14,"2","StoredNitrogen",0.037215,"low"
"35",15,"2","StoredNitrogen",0.037434,"low"
"36",16,"2","StoredNitrogen",0.030106,"low"
"37",17,"2","StoredNitrogen",0.030113,"low"
"38",18,"2","StoredNitrogen",0.041522,"low"
"39",19,"2","StoredNitrogen",0.041671,"low"
"40",20,"2","StoredNitrogen",0.63966,"low"
"41",1,"3","StoredNitrogen",0.72341,"low"
"42",2,"3","StoredNitrogen",0.059196,"low"
"43",3,"3","StoredNitrogen",0.047103,"low"
"44",4,"3","StoredNitrogen",0.03001,"low"
"45",5,"3","StoredNitrogen",0.03001,"low"
"46",6,"3","StoredNitrogen",0.079923,"low"
"47",7,"3","StoredNitrogen",0.021996,"low"
"48",8,"3","StoredNitrogen",0.022012,"low"
"49",9,"3","StoredNitrogen",0.04821,"low"
"50",10,"3","StoredNitrogen",0.087711,"low"
"51",11,"3","StoredNitrogen",0.08483,"low"
"52",12,"3","StoredNitrogen",0.042369,"low"
"53",13,"3","StoredNitrogen",0.044505,"low"
"54",14,"3","StoredNitrogen",0.040945,"low"
"55",15,"3","StoredNitrogen",0.040945,"low"
"56",16,"3","StoredNitrogen",0.038914,"low"
"57",17,"3","StoredNitrogen",0.039044,"low"
"58",18,"3","StoredNitrogen",0.066912,"low"
"59",19,"3","StoredNitrogen",0.070224,"low"
"60",20,"3","StoredNitrogen",1.4023,"low"
"61",1,"4","StoredNitrogen",1.3484,"low"
"62",2,"4","StoredNitrogen",0.049344,"low"
"63",3,"4","StoredNitrogen",0.049344,"low"
"64",4,"4","StoredNitrogen",0.074796,"low"
"65",5,"4","StoredNitrogen",0.042441,"low"
"66",6,"4","StoredNitrogen",0.042467,"low"
"67",7,"4","StoredNitrogen",0.043853,"low"
"68",8,"4","StoredNitrogen",0.039849,"low"
"69",9,"4","StoredNitrogen",0.043595,"low"
"70",10,"4","StoredNitrogen",0.042564,"low"
"71",11,"4","StoredNitrogen",0.060116,"low"
"72",12,"4","StoredNitrogen",0.022831,"low"
"73",13,"4","StoredNitrogen",0.022576,"low"
"74",14,"4","StoredNitrogen",0.039305,"low"
"75",15,"4","StoredNitrogen",0.039405,"low"
"76",16,"4","StoredNitrogen",0.031407,"low"
"77",17,"4","StoredNitrogen",0.032619,"low"
"78",18,"4","StoredNitrogen",0.053927,"low"
"79",19,"4","StoredNitrogen",0.065009,"low"
"80",20,"4","StoredNitrogen",0.76957,"low"
"81",1,"5","StoredNitrogen",1.4684,"low"
"82",2,"5","StoredNitrogen",0.064089,"low"
"83",3,"5","StoredNitrogen",0.060396,"low"
"84",4,"5","StoredNitrogen",0.08554,"low"
"85",5,"5","StoredNitrogen",0.048143,"low"
"86",6,"5","StoredNitrogen",0.045705,"low"
"87",7,"5","StoredNitrogen",0.049602,"low"
"88",8,"5","StoredNitrogen",0.046458,"low"
"89",9,"5","StoredNitrogen",0.056182,"low"
"90",10,"5","StoredNitrogen",0.078921,"low"
"91",11,"5","StoredNitrogen",0.027524,"low"
"92",12,"5","StoredNitrogen",0.025279,"low"
"93",13,"5","StoredNitrogen",0.021955,"low"
"94",14,"5","StoredNitrogen",0.021955,"low"
"95",15,"5","StoredNitrogen",0.038861,"low"
"96",16,"5","StoredNitrogen",0.03911,"low"
"97",17,"5","StoredNitrogen",0.063949,"low"
"98",18,"5","StoredNitrogen",0.049828,"low"
"99",19,"5","StoredNitrogen",0.073794,"low"
"100",20,"5","StoredNitrogen",0.79046,"low"
"101",1,"6","StoredNitrogen",0.15051,"low"
"102",2,"6","StoredNitrogen",0.14354,"low"
"103",3,"6","StoredNitrogen",0.022391,"low"
"104",4,"6","StoredNitrogen",0.022391,"low"
"105",5,"6","StoredNitrogen",0.028455,"low"
"106",6,"6","StoredNitrogen",0.034316,"low"
"107",7,"6","StoredNitrogen",0.22531,"low"
